episode,steps,episode_reward,completed_tasks,risk_exposure_sum,late_tasks,total_path_length,total_energy,total_conflicts,total_invalid_actions,total_replenishments,total_returns
31,7440,3529.3314902166317,67,60480.0,2,3130,17.937019566736627,3,0,22,24
32,7680,2953.0225077792957,43,68880.0,2,2858,15.554984441408712,0,0,24,26
33,7920,3604.611565951916,69,60480.0,1,3380,19.37686809616644,4,0,23,23
34,8160,3939.175005358368,75,56640.0,1,3146,18.24998928326476,5,0,23,23
35,8400,3153.8254822530866,62,64560.0,1,3227,18.949035493827193,4,0,24,25
36,8640,3864.1671874999993,77,56160.0,1,3301,18.265625000000078,6,0,21,23
37,8880,3873.0288135090223,78,55920.0,2,3663,19.542372981956305,9,0,24,23
38,9120,3228.2974033980877,66,62160.0,2,3479,19.005193203824785,6,0,22,22
39,9360,3619.462422839506,72,58560.0,2,3347,18.675154320987588,3,0,23,25
40,9600,3573.546952436067,80,57600.0,1,3229,18.506095127866086,3,0,22,23
41,9840,3566.105751345151,64,60720.0,1,3179,17.38849730969823,1,1,20,20
42,10080,3567.606712962963,71,59520.0,3,3320,18.386574074074083,9,0,19,22
43,10320,3423.5778136022927,62,62160.0,2,3373,18.44437279541453,8,0,22,22
44,10560,3167.7816840277774,63,63120.0,1,3200,17.03663194444451,6,0,20,20
45,10800,3081.8966969373223,66,63360.0,2,3068,16.80660612535628,5,0,20,21
46,11040,3580.240053530092,69,59520.0,2,2808,16.11989293981484,9,0,16,19
47,11280,3312.4469907407406,60,63120.0,1,2688,14.706018518518647,11,0,13,17
48,11520,3488.9568687678056,67,60480.0,1,3254,17.686262464387426,8,0,17,19
49,11760,3862.0657407407407,78,55920.0,2,3153,17.4685185185186,8,0,17,20
50,12000,3512.106423611111,72,59760.0,3,3288,18.387152777777906,16,0,17,21
51,12240,3983.6038773148152,84,53760.0,2,3243,18.39224537037041,14,0,20,22
52,12480,3282.2051504629635,76,60480.0,2,3458,19.18969907407427,16,0,21,23
53,12720,3417.2559027777775,77,59280.0,2,3220,18.08819444444452,13,0,20,22
54,12960,3128.1102553310893,66,63360.0,2,3392,18.37948933782274,9,0,22,22
55,13200,3300.455451502919,74,60480.0,1,3400,18.689096994161766,13,0,21,22
56,13440,3709.120899971941,79,56640.0,1,3523,19.358200056116647,12,0,22,22
57,13680,3180.3766617063493,70,61920.0,2,3480,18.846676587301584,14,0,21,22
58,13920,3156.5298418209877,69,62400.0,2,3334,18.54031635802466,12,0,18,23
59,14160,3619.4959332912467,79,57120.0,2,3367,18.60813341750855,12,2,20,22
60,14400,3427.248802258698,73,59760.0,2,3289,18.102395482604056,14,0,18,22
61,14640,2946.9326234437563,57,65520.0,2,2834,15.734753112487533,11,0,16,19
62,14880,2596.2974840167553,45,70080.0,2,2297,12.005031966490359,13,0,13,14
63,15120,3082.2180586162167,53,65520.0,2,2550,14.163882767567015,11,0,15,15
64,15360,2659.5851316248472,52,68400.0,1,2309,12.429736750306546,13,1,13,13
65,15600,2526.7033978174604,48,70080.0,2,2329,12.193204365079426,10,1,13,13
66,15840,2588.247366584996,49,69360.0,2,2034,11.10526683000647,8,0,13,13
67,16080,2580.4096901868384,40,70800.0,2,1669,8.780619626322682,8,0,9,9
68,16320,2328.5658926504634,36,73440.0,2,2029,10.468214699074196,10,0,11,11
69,16560,2021.8487511613446,37,75120.0,3,1487,7.90249767731164,6,1,13,13
70,16800,2030.4915750385803,35,75120.0,3,1679,8.616849922839434,9,0,13,13
71,17040,1900.1033546753597,35,76800.0,2,2567,14.393290649280313,11,0,20,21
72,17280,2261.4868055555557,40,72960.0,2,1832,9.626388888888934,12,0,12,14
73,17520,1790.3317577227297,34,77040.0,2,1724,8.936484554540161,12,0,14,13
74,17760,2492.2013888888896,47,70560.0,2,2708,14.197222222222308,12,0,16,15
75,18000,2397.7221951162733,39,72480.0,2,2054,11.15560976745431,12,0,13,14
