arm,scenario,label,category,seed,width,height,num_agents,max_steps,obstacle_ratio,obstacles,free_cells,coverage_ratio,coverage_completed,mission_completed,returned_to_depot,steps,coverage_steps,return_steps,path_length,avg_agent_path_length,global_repeat_ratio,total_reward,trajectory_json,metric_budgets,coverage_auc,coverage_at_50,coverage_at_100,coverage_at_125,coverage_at_200,coverage_at_250,coverage_at_300,coverage_at_375,coverage_at_500,t90,t95,t99,repeat_ratio,repeat_ratio_after_90,inter_agent_overlap_ratio,stall_steps,stalled,stall_coverage,stall_termination_coverage,coverage_at_112,coverage_at_281,coverage_at_562,coverage_at_750,coverage_at_844,coverage_at_1000,coverage_at_1125
GAT-OFF,stress_20x20_4a_r15,Obstacle stress 20x20 / 4 agents / 15%,obstacle-stress,20260622,20,20,4,500,0.15,60,340,0.9823529411764705,0,0,0,500,500,0,1968,492.0,0.8333333333333334,20.687499791383743,reports\native_train_seed_gated_cuap_2026-06-07\trajectories\GAT-OFF_stress_20x20_4a_r15_seed_20260622.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.8266941176470588,0.4117647058823529,0.6705882352941176,0.7264705882352941,0.9411764705882353,0.9705882352941176,0.9823529411764705,0.9823529411764705,0.9823529411764705,186,221,,0.8333333333333334,0.9777070063694268,0.8682634730538922,50,1,0.9823529411764705,0.9823529411764705,,,,,,,
GAT-OFF,stress_20x20_4a_r15,Obstacle stress 20x20 / 4 agents / 15%,obstacle-stress,20260623,20,20,4,500,0.15,60,340,0.8676470588235294,0,0,0,500,500,0,1126,281.5,0.8527944111776448,-230.12031233683228,reports\native_train_seed_gated_cuap_2026-06-07\trajectories\GAT-OFF_stress_20x20_4a_r15_seed_20260623.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.7451117647058823,0.4470588235294118,0.6441176470588236,0.7147058823529412,0.8205882352941176,0.8676470588235294,0.8676470588235294,0.8676470588235294,0.8676470588235294,,,,0.8527944111776448,0.0,0.7898305084745763,50,1,0.8676470588235294,0.8676470588235294,,,,,,,
GAT-OFF,stress_20x20_4a_r20,Obstacle stress 20x20 / 4 agents / 20%,obstacle-stress,20260631,20,20,4,500,0.2,80,320,0.76875,0,0,0,500,500,0,500,125.0,0.8772455089820359,-415.37187376618385,reports\native_train_seed_gated_cuap_2026-06-07\trajectories\GAT-OFF_stress_20x20_4a_r20_seed_20260631.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.5562249999999999,0.15625,0.2875,0.3625,0.5625,0.690625,0.725,0.76875,0.76875,,,,0.8772455089820359,0.0,0.0040650406504065045,50,1,0.76875,0.76875,,,,,,,
GAT-OFF,stress_20x20_4a_r20,Obstacle stress 20x20 / 4 agents / 20%,obstacle-stress,20260632,20,20,4,500,0.2,80,320,0.903125,0,0,0,500,500,0,872,218.0,0.8557884231536926,-307.0781257227063,reports\native_train_seed_gated_cuap_2026-06-07\trajectories\GAT-OFF_stress_20x20_4a_r20_seed_20260632.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.7605562499999998,0.321875,0.546875,0.7,0.884375,0.903125,0.903125,0.903125,0.903125,207,,,0.8557884231536926,0.9991467576791809,0.6851211072664359,50,1,0.903125,0.903125,,,,,,,
GAT-OFF,stress_20x20_4a_r20,Obstacle stress 20x20 / 4 agents / 20%,obstacle-stress,20260633,20,20,4,500,0.2,80,320,0.678125,0,0,0,500,500,0,1996,499.0,0.8917165668662674,2.64062487706542,reports\native_train_seed_gated_cuap_2026-06-07\trajectories\GAT-OFF_stress_20x20_4a_r20_seed_20260633.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.60499375,0.49375,0.53125,0.559375,0.665625,0.665625,0.671875,0.678125,0.678125,,,,0.8917165668662674,0.0,0.5069124423963134,50,1,0.665625,0.665625,,,,,,,
GAT-OFF,transfer_30x30_4a_r05,Transfer 30x30 / 4 agents / 5%,map-size,20260701,30,30,4,1125,0.05,45,855,1.0,1,1,0,952,952,0,3790,947.5,0.7757082896117523,118.16666502133012,reports\native_train_seed_gated_cuap_2026-06-07\trajectories\GAT-OFF_transfer_30x30_4a_r05_seed_20260701.json,"[100, 112, 200, 281, 300, 500, 562, 750, 844, 1000, 1125]",0.8715373619233266,,0.39883040935672515,,0.7216374269005847,,0.9169590643274854,,0.9953216374269006,286,342,399,0.7757082896117523,0.9684684684684685,0.9953216374269006,56,1,0.9964912280701754,0.9964912280701754,0.43391812865497076,0.8947368421052632,0.9964912280701754,0.9988304093567252,0.9988304093567252,1.0,1.0
GAT-OFF,transfer_30x30_4a_r05,Transfer 30x30 / 4 agents / 5%,map-size,20260702,30,30,4,1125,0.05,45,855,0.9988304093567252,0,0,0,1125,1125,0,3877,969.25,0.8103907637655418,-73.8239605911076,reports\native_train_seed_gated_cuap_2026-06-07\trajectories\GAT-OFF_transfer_30x30_4a_r05_seed_20260702.json,"[100, 112, 200, 281, 300, 500, 562, 750, 844, 1000, 1125]",0.8746115659519169,,0.3953216374269006,,0.7567251461988304,,0.9251461988304094,,0.9871345029239766,283,315,543,0.8103907637655418,0.975356294536817,0.9918032786885246,56,1,0.9988304093567252,0.9988304093567252,0.43625730994152045,0.8970760233918129,0.9953216374269006,0.9988304093567252,0.9988304093567252,0.9988304093567252,0.9988304093567252
GAT-OFF,transfer_30x30_4a_r05,Transfer 30x30 / 4 agents / 5%,map-size,20260703,30,30,4,1125,0.05,45,855,0.9964912280701754,0,0,0,1125,1125,0,4496,1124.0,0.8108348134991119,102.41249848902225,reports\native_train_seed_gated_cuap_2026-06-07\trajectories\GAT-OFF_transfer_30x30_4a_r05_seed_20260703.json,"[100, 112, 200, 281, 300, 500, 562, 750, 844, 1000, 1125]",0.8621411306042884,,0.3883040935672515,,0.7064327485380117,,0.8923976608187134,,0.9719298245614035,305,378,520,0.8108348134991119,0.975,0.9448356807511737,56,1,0.9953216374269006,0.9953216374269006,0.4233918128654971,0.8631578947368421,0.9941520467836257,0.9964912280701754,0.9964912280701754,0.9964912280701754,0.9964912280701754
GAT-OFF,agents_20x20_6a_r05,Transfer 20x20 / 6 agents / 5%,agent-count,20260801,20,20,6,500,0.05,20,380,0.9473684210526315,0,0,0,500,500,0,900,150.0,0.8802395209580839,-389.76770317554474,reports\native_train_seed_gated_cuap_2026-06-07\trajectories\GAT-OFF_agents_20x20_6a_r05_seed_20260801.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.7433368421052632,0.2657894736842105,0.49736842105263157,0.6078947368421053,0.8263157894736842,0.8921052631578947,0.8973684210526316,0.9394736842105263,0.9473684210526315,301,,,0.8802395209580839,0.9849246231155779,0.7388888888888889,50,1,0.8921052631578947,0.8921052631578947,,,,,,,
GAT-OFF,agents_20x20_6a_r05,Transfer 20x20 / 6 agents / 5%,agent-count,20260802,20,20,6,500,0.05,20,380,0.9815789473684211,0,0,0,500,500,0,994,165.66666666666666,0.8759148369926814,-370.51041650772095,reports\native_train_seed_gated_cuap_2026-06-07\trajectories\GAT-OFF_agents_20x20_6a_r05_seed_20260802.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.6784631578947368,0.25263157894736843,0.49736842105263157,0.5684210526315789,0.718421052631579,0.7342105263157894,0.7368421052631579,0.8631578947368421,0.9815789473684211,389,427,,0.8759148369926814,0.9534534534534534,0.4906166219839142,50,1,0.7342105263157894,0.7342105263157894,,,,,,,
