arm,scenario,label,category,seed,width,height,num_agents,max_steps,obstacle_ratio,obstacles,free_cells,coverage_ratio,coverage_completed,mission_completed,returned_to_depot,steps,coverage_steps,return_steps,path_length,avg_agent_path_length,global_repeat_ratio,total_reward,trajectory_json,metric_budgets,coverage_auc,coverage_at_50,coverage_at_100,coverage_at_125,coverage_at_200,coverage_at_250,coverage_at_300,coverage_at_375,coverage_at_500,t90,t95,t99,repeat_ratio,repeat_ratio_after_90,inter_agent_overlap_ratio,stall_steps,stalled,stall_coverage,stall_termination_coverage
GAT-CUAP,cuap_best_seed_20260603,CUAP best prior-eval seed 20260603 (Unseen 20x20 / 4 agents / 5% obstacles),cuap-best-seed,20260603,20,20,4,500,0.05,20,380,1.0,1,1,0,135,135,0,536,134.0,0.3014705882352941,86.74374894425273,reports\seed_focus_coverage_only_2026-06-07\trajectories\GAT-CUAP_cuap_best_seed_20260603_seed_20260603.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.8932210526315789,0.47368421052631576,0.9078947368421053,0.9894736842105263,1.0,1.0,1.0,1.0,1.0,99,109,132,0.3014705882352941,0.7430555555555556,0.2710526315789474,50,0,,1.0
GAT-CUAP,course4_native_config,Course-4 native config seed 20260431,training-native,20260431,20,20,4,500,0.05,20,380,1.0,1,1,0,130,130,0,516,129.0,0.2748091603053435,87.46874923631549,reports\seed_focus_coverage_only_2026-06-07\trajectories\GAT-CUAP_course4_native_config_seed_20260431.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.8917894736842105,0.48157894736842105,0.8631578947368421,0.9868421052631579,1.0,1.0,1.0,1.0,1.0,110,116,126,0.2748091603053435,0.5375,0.26842105263157895,50,0,,1.0
GAT-CUAP,course4_training_obstacle_seeds,Course-4 training obstacle seeds 20260440-20260447,training-seeds,20260440,20,20,4,500,0.05,20,380,1.0,1,1,0,130,130,0,516,129.0,0.2748091603053435,87.46874923631549,reports\seed_focus_coverage_only_2026-06-07\trajectories\GAT-CUAP_course4_training_obstacle_seeds_seed_20260440.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.8917894736842105,0.48157894736842105,0.8631578947368421,0.9868421052631579,1.0,1.0,1.0,1.0,1.0,110,116,126,0.2748091603053435,0.5375,0.26842105263157895,50,0,,1.0
GAT-CUAP,course4_training_obstacle_seeds,Course-4 training obstacle seeds 20260440-20260447,training-seeds,20260441,20,20,4,500,0.05,20,380,1.0,1,1,0,182,182,0,700,175.0,0.4808743169398907,74.6937490105629,reports\seed_focus_coverage_only_2026-06-07\trajectories\GAT-CUAP_course4_training_obstacle_seeds_seed_20260441.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.8750421052631578,0.4421052631578947,0.8342105263157895,0.8921052631578947,1.0,1.0,1.0,1.0,1.0,127,144,180,0.4808743169398907,0.8272727272727273,0.42105263157894735,50,0,,1.0
GAT-CUAP,course4_training_obstacle_seeds,Course-4 training obstacle seeds 20260440-20260447,training-seeds,20260442,20,20,4,500,0.05,20,380,0.9973684210526316,0,0,0,500,500,0,1448,362.0,0.8108782435129741,-109.8906274177134,reports\seed_focus_coverage_only_2026-06-07\trajectories\GAT-CUAP_course4_training_obstacle_seeds_seed_20260442.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.8857105263157894,0.5052631578947369,0.8236842105263158,0.9394736842105263,0.9973684210526316,0.9973684210526316,0.9973684210526316,0.9973684210526316,0.9973684210526316,116,127,145,0.8108782435129741,0.9765625,0.41688654353562005,50,1,0.9973684210526316,0.9973684210526316
GAT-CUAP,course4_training_obstacle_seeds,Course-4 training obstacle seeds 20260440-20260447,training-seeds,20260443,20,20,4,500,0.05,20,380,1.0,1,1,0,157,157,0,624,156.0,0.3987341772151899,84.31874924898148,reports\seed_focus_coverage_only_2026-06-07\trajectories\GAT-CUAP_course4_training_obstacle_seeds_seed_20260443.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.8865105263157894,0.4789473684210526,0.85,0.9526315789473684,1.0,1.0,1.0,1.0,1.0,112,123,149,0.3987341772151899,0.8,0.3078947368421053,50,0,,1.0
GAT-CUAP,course4_training_obstacle_seeds,Course-4 training obstacle seeds 20260440-20260447,training-seeds,20260444,20,20,4,500,0.05,20,380,1.0,1,1,0,152,152,0,604,151.0,0.3790849673202614,84.14374938979745,reports\seed_focus_coverage_only_2026-06-07\trajectories\GAT-CUAP_course4_training_obstacle_seeds_seed_20260444.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.8826105263157895,0.47368421052631576,0.8184210526315789,0.9315789473684211,1.0,1.0,1.0,1.0,1.0,116,129,142,0.3790849673202614,0.7361111111111112,0.33157894736842103,50,0,,1.0
GAT-CUAP,course4_training_obstacle_seeds,Course-4 training obstacle seeds 20260440-20260447,training-seeds,20260445,20,20,4,500,0.05,20,380,1.0,1,1,0,175,175,0,686,171.5,0.4602272727272727,79.9812494367361,reports\seed_focus_coverage_only_2026-06-07\trajectories\GAT-CUAP_course4_training_obstacle_seeds_seed_20260445.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.8802000000000001,0.4868421052631579,0.7973684210526316,0.9,1.0,1.0,1.0,1.0,1.0,125,138,172,0.4602272727272727,0.81,0.3736842105263158,50,0,,1.0
GAT-CUAP,course4_training_obstacle_seeds,Course-4 training obstacle seeds 20260440-20260447,training-seeds,20260446,20,20,4,500,0.05,20,380,1.0,1,1,0,163,163,0,648,162.0,0.42073170731707316,82.93124921619892,reports\seed_focus_coverage_only_2026-06-07\trajectories\GAT-CUAP_course4_training_obstacle_seeds_seed_20260446.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.8834263157894736,0.4763157894736842,0.8184210526315789,0.9552631578947368,1.0,1.0,1.0,1.0,1.0,116,124,160,0.42073170731707316,0.8031914893617021,0.3473684210526316,50,0,,1.0
GAT-CUAP,course4_training_obstacle_seeds,Course-4 training obstacle seeds 20260440-20260447,training-seeds,20260447,20,20,4,500,0.05,20,380,1.0,1,1,0,170,170,0,672,168.0,0.4444444444444444,81.64374929666519,reports\seed_focus_coverage_only_2026-06-07\trajectories\GAT-CUAP_course4_training_obstacle_seeds_seed_20260447.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.8818894736842106,0.4605263157894737,0.7947368421052632,0.9526315789473684,1.0,1.0,1.0,1.0,1.0,117,123,143,0.4444444444444444,0.8254716981132075,0.3815789473684211,50,0,,1.0
