step,GAT-OFF_coverage_mean,GAT-OFF_coverage_std,GAT-OFF_repeat_mean,GAT-OFF_repeat_std,GAT-ON_coverage_mean,GAT-ON_coverage_std,GAT-ON_repeat_mean,GAT-ON_repeat_std,GAT-CIR_coverage_mean,GAT-CIR_coverage_std,GAT-CIR_repeat_mean,GAT-CIR_repeat_std
12,0.09671052631578944,0.019637909942893814,0.2932692307692308,0.14350780342883943,0.10355263157894737,0.019574330949817007,0.2432692307692308,0.14304318771020122,0.10315789473684209,0.019473684210526317,0.24615384615384622,0.14230769230769233
13,0.10644736842105262,0.02159619015851826,0.27767857142857144,0.14654557607565963,0.11328947368421054,0.021548036268672167,0.23125000000000004,0.14621881753741828,0.11276315789473686,0.021415863201746044,0.2348214285714286,0.14532192886899098
14,0.11631578947368422,0.02353167253274543,0.2633333333333333,0.14903392604072105,0.12315789473684213,0.02356108345852567,0.22000000000000006,0.14922019523732927,0.1222368421052632,0.023382212028274396,0.22583333333333339,0.14808734284573785
15,0.12618421052631582,0.025479813855823673,0.25078125,0.15128639476895303,0.13302631578947363,0.025574764115369405,0.21015625,0.15185016193500583,0.13171052631578944,0.02537086415403381,0.21796875,0.15063950591457573
16,0.13592105263157897,0.027376959700406343,0.24044117647058827,0.1529888924434472,0.14276315789473681,0.027548433802779958,0.20220588235294118,0.1539471300743586,0.14105263157894732,0.027340572876363736,0.211764705882353,0.15278555430909144
17,0.14578947368421052,0.02934417033091875,0.23055555555555557,0.15487201007984894,0.1526315789473684,0.029562835094702353,0.19444444444444442,0.15602607411092909,0.15052631578947367,0.029393688432512007,0.20555555555555555,0.15513335561603558
18,0.1556578947368421,0.031317724398427234,0.22171052631578947,0.15658862199213622,0.1625,0.03157757672464045,0.18750000000000003,0.15788788362320225,0.15999999999999998,0.031475708436930344,0.2,0.15737854218465175
19,0.1655263157894737,0.03329649395499908,0.21375000000000002,0.15815834628624567,0.17236842105263156,0.03359259745655457,0.18124999999999997,0.1595648379186342,0.16960526315789473,0.03360264590228497,0.194375,0.15961256803585364
20,0.1753947368421053,0.03527960142927227,0.20654761904761906,0.15959819694194602,0.18223684210526314,0.03560784990798029,0.17559523809523808,0.16108313053610135,0.17921052631578946,0.035743972624029466,0.18928571428571428,0.16169892377537143
21,0.18526315789473685,0.0372663543083423,0.2,0.16092289360420542,0.19210526315789472,0.03762329684349793,0.17045454545454547,0.16246423636965018,0.18881578947368421,0.03789724955119707,0.1846590909090909,0.16364721397107823
22,0.19513157894736838,0.039256199115236166,0.1940217391304348,0.1621451702585842,0.20197368421052628,0.03963890859739007,0.1657608695652174,0.1637259268153068,0.19842105263157894,0.04006054973948015,0.18043478260869567,0.1654674880543745
23,0.20460526315789473,0.041113947125026154,0.19010416666666666,0.1627427073698952,0.2118421052631579,0.04165466124366035,0.16145833333333331,0.16488303408948887,0.20802631578947367,0.04223233292867372,0.17656249999999998,0.1671696511760001
24,0.21434210526315786,0.043060504684825876,0.18550000000000003,0.16362991780233835,0.2217105263157894,0.04367053527230378,0.15750000000000003,0.16594803403475436,0.2176315789473684,0.04441135464104458,0.17300000000000001,0.1687631476359694
25,0.22381578947368422,0.04491816967285068,0.18221153846153845,0.1641240814969544,0.23157894736842102,0.0456865146156777,0.15384615384615388,0.16693149571113006,0.22723684210526315,0.04659659939085946,0.16971153846153847,0.17025680546660185
26,0.2328947368421052,0.0466873552610794,0.18055555555555555,0.16427032406676084,0.2413157894736842,0.04766064829733104,0.15092592592592594,0.16769487363875735,0.23684210526315788,0.04878723097099461,0.16666666666666669,0.1716587756386847
27,0.24197368421052637,0.04846304672125892,0.17901785714285715,0.16442819423284277,0.2510526315789474,0.04963439741955386,0.14821428571428574,0.16840241981634352,0.24631578947368427,0.05094263788390464,0.1642857142857143,0.17284109282039076
